FIELD_NAME,RA_DEG,DEC_DEG
RACS_0000+12A,0.0,12.5810805555556
RACS_0000+18A,0.0,18.8580194444444
RACS_0000+31A,0.0,31.3828472222222
RACS_0000+37A,0.0,37.6317138888889
RACS_0000-12A,0.0,-12.5856855555556
RACS_0000-18A,0.0,-18.8626194444444
RACS_0000-31A,0.0,-31.3874361111111
RACS_0000-37A,0.0,-37.6363
RACS_0000-50A,0.0,-50.0959083333333
RACS_0000-62A,0.0,-62.4986277777778
RACS_0000-74A,0.0,-74.279
RACS_0012+00A,3.10344583333333,0.0
RACS_0012+06A,3.10344583333333,6.29503611111111
RACS_0012-06A,3.10344583333333,-6.29964722222222
RACS_0021-56A,5.29411666666667,-56.3062944444444
RACS_0025+12A,6.3157875,12.5810805555556
RACS_0025-12A,6.3157875,-12.5856855555556
RACS_0026+18A,6.54545416666667,18.8580194444444
RACS_0026-18A,6.54545416666667,-18.8626194444444
RACS_0027+25A,6.79245,25.1251944444444
RACS_0027-25A,6.79245,-25.1297888888889
RACS_0028+31A,7.05882083333333,31.3828472222222
RACS_0028-31A,7.05882083333333,-31.3874361111111
RACS_0030+37A,7.65957083333333,37.6317138888889
RACS_0030-37A,7.65957083333333,-37.6363
RACS_0030-68A,7.5,-68.6714888888889
RACS_0033-43A,8.37209166666667,-43.8726027777778
RACS_0036-50A,9.23076666666666,-50.0959083333333
RACS_0037+00A,9.31034166666667,0.0
RACS_0037+06A,9.31034166666667,6.29503611111111
RACS_0037-06A,9.31034166666667,-6.29964722222222
RACS_0049-62A,12.4137916666667,-62.4986277777778
RACS_0050+12A,12.631575,12.5810805555556
RACS_0050-12A,12.631575,-12.5856855555556
RACS_0052+18A,13.0909083333333,18.8580194444444
RACS_0052-18A,13.0909083333333,-18.8626194444444
RACS_0054+25A,13.5849041666667,25.1251944444444
RACS_0054-25A,13.5849041666667,-25.1297888888889
RACS_0056+31A,14.1176458333333,31.3828472222222
RACS_0056-31A,14.1176458333333,-31.3874361111111
RACS_0101+37A,15.3191458333333,37.6317138888889
RACS_0101-37A,15.3191458333333,-37.6363
RACS_0102+00A,15.5172375,0.0
RACS_0102+06A,15.5172375,6.29503611111111
RACS_0102-06A,15.5172375,-6.29964722222222
RACS_0103-56A,15.88235,-56.3062944444444
RACS_0106-43A,16.7441833333333,-43.8726027777778
RACS_0113-50A,18.4615375,-50.0959083333333
RACS_0113-80A,18.408475,-80.0458166666667
RACS_0115+12A,18.9473666666667,12.5810805555556
RACS_0115-12A,18.9473666666667,-12.5856855555556
RACS_0118+18A,19.6363625,18.8580194444444
RACS_0118-18A,19.6363625,-18.8626194444444
RACS_0121+25A,20.3773583333333,25.1251944444444
RACS_0121-25A,20.3773583333333,-25.1297888888889
RACS_0124+31A,21.1764666666667,31.3828472222222
RACS_0124-31A,21.1764666666667,-31.3874361111111
RACS_0126+00A,21.7241375,0.0
RACS_0126+06A,21.7241375,6.29503611111111
RACS_0126-06A,21.7241375,-6.29964722222222
RACS_0127-73A,21.8096166666667,-73.0317138888889
RACS_0130-68A,22.5,-68.6714888888889
RACS_0131+37A,22.9787208333333,37.6317138888889
RACS_0131-37A,22.9787208333333,-37.6363
RACS_0139-62A,24.8275833333333,-62.4986277777778
RACS_0140-43A,25.116275,-43.8726027777778
RACS_0141+12A,25.2631541666667,12.5810805555556
RACS_0141-12A,25.2631541666667,-12.5856855555556
RACS_0144+18A,26.1818166666667,18.8580194444444
RACS_0144-18A,26.1818166666667,-18.8626194444444
RACS_0145-56A,26.4705875,-56.3062944444444
RACS_0148+25A,27.1698083333333,25.1251944444444
RACS_0148-25A,27.1698083333333,-25.1297888888889
RACS_0150-50A,27.6923041666667,-50.0959083333333
RACS_0151+00A,27.9310333333333,0.0
RACS_0151+06A,27.9310333333333,6.29503611111111
RACS_0151-06A,27.9310333333333,-6.29964722222222
RACS_0152+31A,28.2352916666667,31.3828472222222
RACS_0152-31A,28.2352916666667,-31.3874361111111
RACS_0202+37A,30.6382958333333,37.6317138888889
RACS_0202-37A,30.6382958333333,-37.6363
RACS_0206+12A,31.5789458333333,12.5810805555556
RACS_0206-12A,31.5789458333333,-12.5856855555556
RACS_0210+18A,32.7272708333333,18.8580194444444
RACS_0210-18A,32.7272708333333,-18.8626194444444
RACS_0213-43A,33.4883708333333,-43.8726027777778
RACS_0215+25A,33.9622625,25.1251944444444
RACS_0215-25A,33.9622625,-25.1297888888889
RACS_0216+00A,34.1379291666667,0.0
RACS_0216+06A,34.1379291666667,6.29503611111111
RACS_0216-06A,34.1379291666667,-6.29964722222222
RACS_0221+31A,35.2941166666667,31.3828472222222
RACS_0221-31A,35.2941166666667,-31.3874361111111
RACS_0227-50A,36.923075,-50.0959083333333
RACS_0228-56A,37.0588208333333,-56.3062944444444
RACS_0228-62A,37.2413791666667,-62.4986277777778
RACS_0230-68A,37.5,-68.6714888888889
RACS_0231+12A,37.8947333333333,12.5810805555556
RACS_0231-12A,37.8947333333333,-12.5856855555556
RACS_0233+37A,38.2978708333333,37.6317138888889
RACS_0233-37A,38.2978708333333,-37.6363
RACS_0233-69A,38.4930833333333,-69.7458444444444
RACS_0237+18A,39.272725,18.8580194444444
RACS_0237-18A,39.272725,-18.8626194444444
RACS_0241+00A,40.344825,0.0
RACS_0241+06A,40.344825,6.29503611111111
RACS_0241-06A,40.344825,-6.29964722222222
RACS_0243+25A,40.7547166666667,25.1251944444444
RACS_0243-25A,40.7547166666667,-25.1297888888889
RACS_0247-43A,41.8604625,-43.8726027777778
RACS_0249+31A,42.3529375,31.3828472222222
